"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Knocknacarra, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Loughrea, Galway","Euro","983.26"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Mervue, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Monivea, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Moycullen, Galway","Euro","1263.66"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Newcastle, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Oranmore, Galway","Euro","1121.78"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Oughterard, Galway","Euro","1012.23"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Portumna, Galway","Euro","792.62"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Rahoon, Galway","Euro",""
